"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"23712","PUBLIC SERVICE ENTERPRISE GP INC","PEG","July 7, 1948","Dec. 31, 2024"
"23819","HALLIBURTON CO","HAL","March 1, 1957","Dec. 31, 2024"
"23887","FRONTIER COMMUNICATIONS CORP","FTR","Feb. 27, 2001","March 17, 2017"
"23931","X C E L ENERGY INC","XEL","July 6, 1949","Dec. 31, 2024"
"24010","ENTERGY CORP NEW","ETR","March 1, 1957","Dec. 31, 2024"
"24109","AMERICAN ELECTRIC POWER CO INC","AEP","Sept. 6, 1951","Dec. 31, 2024"
"24205","F P L GROUP INC","FPL","July 1, 1976","Dec. 31, 2024"
"24221","CONSTELLATION ENERGY GROUP INC","CEG","March 1, 1957","March 13, 2012"
"24328","E Q T CORP","EQT","Dec. 19, 2008","Nov. 12, 2018"
"24459","PITNEY BOWES INC","PBI","March 1, 1957","Feb. 28, 2017"
"24643","ALCOA INC","AA","March 1, 1957","Dec. 31, 2024"
"24766","NORTHROP GRUMMAN CORP","NOC","June 13, 1985","Dec. 31, 2024"
"24942","RAYTHEON CO","RTN","March 1, 1957","April 3, 2020"
"24985","AMEREN CORP","AEE","Sept. 20, 1991","Dec. 31, 2024"
"25081","COMERICA INC","CMA","Dec. 1, 1995","June 21, 2024"
"25099","INTEGRYS ENERGY GROUP INC","TEG","Feb. 22, 2007","June 30, 2015"
"25320","CAMPBELL SOUP CO","CPB","March 1, 1957","Dec. 31, 2024"
"25419","WHIRLPOOL CORP","WHR","April 1, 1959","March 15, 2024"
"25582","HARRIS CORP","HRS","Sept. 22, 2008","Dec. 31, 2024"
"25778","C A INC","CA","July 9, 1987","Nov. 5, 2018"
"25785","FORD MOTOR CO DEL","F","March 1, 1957","Dec. 31, 2024"
"25953","DOVER CORP","DOV","Oct. 24, 1985","Dec. 31, 2024"
"26382","MASSEY ENERGY CO","MEE","June 23, 2008","June 1, 2011"
"26403","DISNEY WALT CO","DIS","July 1, 1976","Dec. 31, 2024"
"26710","LOEWS CORP","L","May 10, 1995","Dec. 31, 2024"
"26825","KELLOGG CO","K","April 26, 1961","Dec. 31, 2024"
"27043","VARIAN MEDICAL SYSTEMS INC","VAR","Feb. 12, 2007","April 19, 2021"
"27422","CLIFFS NATURAL RESOURCES INC","CLF","Dec. 21, 2009","April 1, 2014"
"27633","RYDER SYSTEMS INC","R","Dec. 30, 1982","June 16, 2017"
"27756","QUESTAR CORP","STR","Dec. 1, 2006","June 30, 2010"
"27828","HEWLETT PACKARD CO","HPQ","Oct. 17, 1974","Dec. 31, 2024"
"27887","BAXTER INTERNATIONAL INC","BAX","Sept. 14, 1972","Dec. 31, 2024"
"27959","DUKE ENERGY CORP NEW","DUK","July 1, 1976","Dec. 31, 2024"
"27983","XEROX CORP","XRX","Sept. 5, 1963","March 19, 2021"
"27991","PINNACLE WEST CAPITAL CORP","PNW","Oct. 4, 1999","Dec. 31, 2024"
"28222","AIR PRODUCTS & CHEMICALS INC","APD","April 11, 1985","Dec. 31, 2024"
"28345","MURPHY OIL CORP","MUR","Aug. 15, 2005","July 25, 2017"
